kabupaten,laki_laki,perempuan,jumlah,tahun
3301 Kabupaten Cilacap,9.43,7.52,8.74,2023
3302 Kabupaten Banyumas,6.71,5.71,6.35,2023
3303 Kabupaten Purbalingga,6.57,4.28,5.61,2023
3304 Kabupaten Banjarnegara,5.01,8.21,6.26,2023
3305 Kabupaten Kebumen,6.05,3.79,5.11,2023
3306 Kabupaten Purworejo,5.45,2.11,4.02,2023
3307 Kabupaten Wonosobo,4.2,6.07,4.95,2023
3308 Kabupaten Magelang,4.35,4.51,4.42,2023
3309 Kabupaten Boyolali,3.78,4.4,4.05,2023
3310 Kabupaten Klaten,4.1,4.36,4.2,2023
3311 Kabupaten Sukoharjo,4.03,2.55,3.4,2023
3312 Kabupaten Wonogiri,2.34,1.43,1.92,2023
3313 Kabupaten Karanganyar,4.37,4.32,4.35,2023
3314 Kabupaten Sragen,4.2,3.42,3.87,2023
3315 Kabupaten Grobogan,5.08,2.52,4.02,2023
3316 Kabupaten Blora,3.63,2.44,3.1,2023
3317 Kabupaten Rembang,2.65,2.53,2.6,2023
3318 Kabupaten Pati,4.15,4.5,4.29,2023
3319 Kabupaten Kudus,3.51,2.91,3.25,2023
3320 Kabupaten Jepara,3.35,3.36,3.35,2023
3321 Kabupaten Demak,4.55,6.59,5.38,2023
3322 Kabupaten Semarang,3.35,4.94,4.05,2023
3323 Kabupaten Temanggung,2.04,2.68,2.32,2023
3324 Kabupaten Kendal,6.93,4.15,5.76,2023
3325 Kabupaten Batang,6.15,5.93,6.06,2023
3326 Kabupaten Pekalongan,3.55,2.78,3.25,2023
3327 Kabupaten Pemalang,6.99,5.82,6.55,2023
3328 Kabupaten Tegal,9.82,6.63,8.6,2023
3329 Kabupaten Brebes,9.73,7.72,8.98,2023
3371 Kota Magelang,6.13,4.15,5.25,2023
3372 Kota Surakarta,5.83,2.9,4.58,2023
3373 Kota Salatiga,5.37,3.58,4.57,2023
3374 Kota Semarang,4.91,7.33,5.99,2023
3375 Kota Pekalongan,5.27,4.69,5.02,2023
3376 Kota Tegal,4.09,9.26,6.05,2023
3300 Provinsi Jawa Tengah,5.43,4.69,5.13,2023
