kabupaten,presentase,tahun
3301 Kabupaten Cilacap,8.74,2023
3302 Kabupaten Banyumas,6.35,2023
3303 Kabupaten Purbalingga,5.61,2023
3304 Kabupaten Banjarnegara,6.26,2023
3305 Kabupaten Kebumen,5.11,2023
3306 Kabupaten Purworejo,4.02,2023
3307 Kabupaten Wonosobo,4.95,2023
3308 Kabupaten Magelang,4.42,2023
3309 Kabupaten Boyolali,4.05,2023
3310 Kabupaten Klaten,4.2,2023
3311 Kabupaten Sukoharjo,3.4,2023
3312 Kabupaten Wonogiri,1.92,2023
3313 Kabupaten Karanganyar,4.35,2023
3314 Kabupaten Sragen,3.87,2023
3315 Kabupaten Grobogan,4.02,2023
3316 Kabupaten Blora,3.1,2023
3317 Kabupaten Rembang,2.6,2023
3318 Kabupaten Pati,4.29,2023
3319 Kabupaten Kudus,3.25,2023
3320 Kabupaten Jepara,3.35,2023
3321 Kabupaten Demak,5.38,2023
3322 Kabupaten Semarang,4.05,2023
3323 Kabupaten Temanggung,2.32,2023
3324 Kabupaten Kendal,5.76,2023
3325 Kabupaten Batang,6.06,2023
3326 Kabupaten Pekalongan,3.25,2023
3327 Kabupaten Pemalang,6.55,2023
3328 Kabupaten Tegal,8.6,2023
3329 Kabupaten Brebes,8.98,2023
3371 Kota Magelang,5.25,2023
3372 Kota Surakarta,4.58,2023
3373 Kota Salatiga,4.57,2023
3374 Kota Semarang,5.99,2023
3375 Kota Pekalongan,5.02,2023
3376 Kota Tegal,6.05,2023
